City	Country	Nickname, comma seperated EDIT HERE, free form list	Nickname, default	Nickname, metro (div)	Someone from here is called	Plural form (demonym)	Type	Scale	Megacity	State or province	Lat	Long	GeoNamesID
Bern	Switzerland	Bärn, Züri West, Zurich West	Bärn		Bernese	Bernese	Admin-0 capital	4	0	Bern	46.92	7.47	2661552
Bethel	United States of America						Populated place	3	0	Alaska	60.79	-161.76	5880568
Bhilai	India						Populated place	3	1	Chhattisgarh	21.22	81.43	1275971
Bhiwandi	India						Populated place	6	1	Maharashtra	19.35	73.13	1275901
Bhopal	India	City of Lakes and Hills					Admin-1 capital	3	1	Madhya Pradesh	23.25	77.41	1275841
Bhubaneshwar	India						Admin-1 capital	3	1	Orissa	20.27	85.83	1275817
Big Delta	United States of America						Populated place	8	0	Alaska	64.15	-145.84	-1
Big Spring	United States of America						Populated place	8	0	Texas	32.24	-101.48	5517061
Billings	United States of America	Montana's Trailhead	Montana's Trailhead				Populated place	4	0	Montana	45.79	-108.54	5640350
Biloxi	United States of America						Populated place	6	0	Mississippi	30.4	-88.89	4418478
Binghamton	United States of America						Populated place	7	0	New York	42.1	-75.92	5109177
Bir Lehlou	Morocco						Admin-0 capital alt	6	0		26.12	-9.65	-1
Birmingham	United States of America				Birminghamian	Birminghamians ("Birminghamsters")	Populated place	6	0	Alabama	33.53	-86.82	4049979
Birmingham	United Kingdom	Brum	Brum		Birminghamian ("Brummie")	Birminghamians ("Brummies")	Populated place	4	1	West Midlands	52.47	-1.92	2655603
Bishkek	Kyrgyzstan						Admin-0 capital	3	1	Bishkek	42.87	74.59	1528675
Bishop	United States of America	Mule Packer Capital of the World					Populated place	7	0	California	37.36	-118.39	5328808
Bismarck	United States of America						Admin-1 capital	3	0	North Dakota	46.81	-100.78	5688025
Bissau	Guinea Bissau						Admin-0 capital	3	0	Bissau	11.87	-15.6	2374775
Blacksburg	United States of America						Populated place	8	0	Virginia	37.23	-80.41	4747845
Bloemfontein	South Africa						Admin-0 capital	3	0	Orange Free State	-29.12	26.23	1018725
Bloomington	United States of America						Populated place	7	0	Illinois	40.48	-88.99	4885164
Bloomington	United States of America	University City, BLM	University City	BLM			Populated place	7	0	Indiana	39.17	-86.53	4254679
Boa Vista	Brazil						Admin-1 capital	3	0	Roraima	2.82	-60.67	3664980
Bogor	Indonesia	The Rainy City	Rainy City				Populated place	6	1	Jawa Barat	-6.57	106.75	1648473
Bogota	Colombia	La Atenas suramericana, The South American Athens			Bogotan	Bogotans	Admin-0 capital	1	1	Bogota	4.6	-74.08	3688689
Boise	United States of America	The City of Trees, B-town					Admin-1 capital	3	0	Idaho	43.61	-116.23	5586437
Bordeaux	France	Sleeping beauty, The city of wine					Admin-1 region capital	4	1	Aquitaine	44.85	-0.6	3031582
Boston	United States of America	Beantown, Hub City, The Hub, B-town, Cradle of Liberty, Puritan City, Greater Boston Area, GBA	Beantown	Greater Boston Area	Bostonian	Bostonians	Admin-1 capital	1	1	Massachusetts	42.33	-71.07	4930956
Boulder	United States of America	The People's Republic of Boulder, The Berkeley of the Rockies, The Boulder bubble					Populated place	7	0	Colorado	40.04	-105.25	5574991
