Abbreviation	Format	Prefered	Keyword	Type	Comment	Reference	Length	Rank_gross	Rank_detail	Region	Web link	Concatenated	Separable
CT	UPPER	0	Connecticut	Admin-1		UC Berkeley	2	1	3	United States of America			
Consv	MiXeD	0	Conservation			USGS	5	1	2	United States of America			
Constr	MiXeD	0	Construction			USGS	6	1	2	United States of America			
Cont	MiXeD	0	Continent			USGS	4	1	2	United States of America			
CONUS	UPPER	0	Continental United States			UC Berkeley	5	1	3	United States of America			
CR	UPPER	0	Continuous Revison			Ordnance Survey (UK)	2	10	10	United Kingdom			
Conv Home	MiXeD	0	Convalescent Home			Ordnance Survey (UK)	9	10	10	United Kingdom			
Cvt	MiXeD	0	Convent			Ordnance Survey (UK)	3	10	10	United Kingdom			
Coop	MiXeD	0	Cooperative			USGS	4	1	2	United States of America			
C	UPPER	-10	Cop			Ordnance Survey (UK)	1	10	10	United Kingdom			
Cop	MiXeD	0	Coppice			Ordnance Survey (UK)	3	10	10	United Kingdom			
Crl	MiXeD	0	Coral	Point of interest		USGS	3	1	2	United States of America			
Cord	MiXeD	0	Cordillera	Landform	Range	Nat'l Geo. N. Amer. Atlas	4	1	1				
C	UPPER	-10	Corner			Ordnance Survey (UK)	1	10	10	United Kingdom			
Cnr	MiXeD	0	Corner			Ordnance Survey (UK)	3	10	10	United Kingdom			
Cnel	MiXeD	0	Coronel	Title		Nat'l Geo. N. Amer. Atlas	4	1	1				
Corpn	MiXeD	0	Corporation			Ordnance Survey (UK)	5	10	10	United Kingdom			
Corp	MiXeD	0	Corporation			UC Berkeley	4	1	3	United States of America			
Corpn Yd	MiXeD	0	Corporation Yard			Ordnance Survey (UK)	8	10	10	United Kingdom			
Cor	MiXeD	0	Correction			USGS	3	1	2	United States of America			
C.R.	Exact	0	Costa Rica	Admin-0		Nat'l Geo. N. Amer. Atlas	4	1	1				
Cott	MiXeD	0	Cottage	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
Cnl	MiXeD	0	Council			Ordnance Survey (UK)	3	10	10	United Kingdom			
CC	UPPER	100	Country Club	Point of interest		Benchmark	2	1	1	United States of America			
Co	MiXeD	0	County	Region		UC Berkeley	2	1	3	United States of America			
CB	UPPER	0	County Borough	Region		Ordnance Survey (UK)	2	10	10	United Kingdom			
Co Const	MiXeD	0	County Constituency	Region		Ordnance Survey (UK)	8	10	10	United Kingdom			
CC	UPPER	0	County Constituency	Region		Ordnance Survey (UK)	2	10	10	United Kingdom			
Co Cnl	MiXeD	0	County Council	Region		Ordnance Survey (UK)	6	10	10	United Kingdom			
CC	UPPER	0	County Council	Region		Ordnance Survey (UK)	2	10	10	United Kingdom			
Co of City	MiXeD	0	County of City	Region		Ordnance Survey (UK)	10	10	10	United Kingdom			
Co Rt	MiXeD	100	County Route	Transport		Benchmark	5	1	1	United States of America			
Cse	MiXeD	0	Course			Ordnance Survey (UK)	3	10	10	United Kingdom			
C	UPPER	-10	Course of			Ordnance Survey (UK)	1	10	10	United Kingdom			
C	UPPER	-10	Court	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Ct	MiXeD	0	Court	Transport		UC Berkeley	2	1	3	United States of America			
C.H.	Exact	0	Court House	Feature		Nat'l Geo. N. Amer. Atlas	4	1	1				
CH	UPPER	0	Courthouse	Point of interest		USGS	2	1	2	United States of America			
C	UPPER	-10	Cove	Hydrology		USGS	1	1	2	United States of America			
C	UPPER	-10	Covered	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Cov	MiXeD	0	Covered	Transport		USGS	3	1	2	United States of America			
CoH	MiXeD	0	Cow House	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
C	UPPER	-10	Crane	Point of interest		Ordnance Survey (UK)	1	10	10	United Kingdom			
CRTR	UPPER	0	Crater	Landform		UC Berkeley	4	1	3	United States of America			
Ctr	MiXeD	0	Crater	Landform		USGS	3	1	2	United States of America			
LKC	UPPER	0	Crater lake	Landform		UC Berkeley	3	1	3	United States of America			
LKSC	UPPER	0	Crater lakes	Landform		UC Berkeley	4	1	3	United States of America			
CM	UPPER	0	Crayon Mark	Term		Ordnance Survey (UK)	2	10	10	United Kingdom			
C	UPPER	-10	Creek	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
Cr	MiXeD	0	Creek	Hydrology		USGS	2	1	2	United States of America			
Crem	MiXeD	0	Crematorium	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
C	UPPER	-10	Crescent			Ordnance Survey (UK)	1	10	10	United Kingdom			
Cres	MiXeD	0	Crescent			Ordnance Survey (UK)	4	10	10	United Kingdom			
Cr	MiXeD	0	Crescent			Ordnance Survey (UK)	2	10	10	United Kingdom			
Crev	MiXeD	0	Crevasse	Landform		USGS	4	1	2	United States of America			
C	UPPER	-10	Croft			Ordnance Survey (UK)	1	10	10	United Kingdom			
CFT	UPPER	0	Croft			Ordnance Survey (UK)	3	10	10	United Kingdom			
CF	UPPER	0	Croft			Ordnance Survey (UK)	2	10	10	United Kingdom			
C	UPPER	-10	Cross			Ordnance Survey (UK)	1	10	10	United Kingdom			
C	UPPER	-10	Cross			Ordnance Survey (UK)	1	10	10	United Kingdom			
CS	UPPER	0	Cross			Ordnance Survey (UK)	2	10	10	United Kingdom			
XC	UPPER	0	Cross Cut			Ordnance Survey (UK)	2	10	10	United Kingdom			
cr	lower	0	Crosses			Ordnance Survey (UK)	2	10	10	United Kingdom			
Xing	MiXeD	0	Crossing	Transport		USGS	4	1	2	United States of America			
CUET	UPPER	0	Cuesta	Ridge		UC Berkeley	4	1	3	United States of America			
CDS	UPPER	0	Cul de sac	Transport		Ordnance Survey (UK)	3	10	10	United Kingdom			
C	UPPER	-10	Culvert			Ordnance Survey (UK)	1	10	10	United Kingdom			
Cul	MiXeD	0	Culvert			USGS	3	1	2	United States of America			
Cus Ho	MiXeD	0	Customhouse	Point of interest		USGS	6	1	2	United States of America			
C	UPPER	-10	Cut			Ordnance Survey (UK)	1	10	10	United Kingdom			
CU	UPPER	0	Cut			Ordnance Survey (UK)	2	10	10	United Kingdom			
D	UPPER	-10	Dale			Ordnance Survey (UK)	1	10	10	United Kingdom			
DL	UPPER	0	Dale			Ordnance Survey (UK)	2	10	10	United Kingdom			
D	UPPER	-10	Dam	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
Dam	MiXeD	0	Dam	Hydrology		USGS	3	1	2	United States of America			
DOR	UPPER	0	Date of Revision			Ordnance Survey (UK)	3	10	10	United Kingdom			
DOS	UPPER	0	Date of Survey			Ordnance Survey (UK)	3	10	10	United Kingdom			
DVNP	UPPER	0	Death Valley National Park	Proper name		UC Berkeley	4	1	3	United States of America			
Dec	MiXeD	0	December	Dates		USGS	3	1	2	United States of America			
dec	lower	0	Declination			UC Berkeley	3	1	3	United States of America			
Def	MiXeD	0	Defaced			Ordnance Survey (UK)	3	10	10	United Kingdom			
Deg	MiXeD	0	Degree			USGS	3	1	2	United States of America			
Deg	MiXeD	0	Degrees			USGS	3	1	2	United States of America			
Del	MiXeD	0	Delaware	Admin-1		UC Berkeley	3	1	3	United States of America			
DE	UPPER	0	Delaware	Admin-1		UC Berkeley	2	1	3	United States of America			
DRC	UPPER	0	Democratic Republic of Congo	Admin-0		UC Berkeley	3	1	3	United States of America			
Dep	MiXeD	0	Departement			UC Berkeley	3	1	3	United States of America			
Dept	MiXeD	0	Department			UC Berkeley	4	1	3	United States of America			
Dpt	MiXeD	0	Department			UC Berkeley	3	1	3	United States of America			
Dep	MiXeD	0	Depot	Transport		USGS	3	1	2	United States of America			
Depr	MiXeD	0	Depression			USGS	4	1	2	United States of America			
DNR	UPPER	100	Dept of Natural Resources	Organization		Benchmark	3	1	1	United States of America			
DOA	UPPER	0	Dept. of Agriculture	Organization		UC Berkeley	3	1	3	United States of America			
DOC	UPPER	0	Dept. of Commerce	Organization		UC Berkeley	3	1	3	United States of America			
DOD	UPPER	0	Dept. of Defense	Organization		UC Berkeley	3	1	3	United States of America			
DOE	UPPER	0	Dept. of Energy	Organization		UC Berkeley	3	1	3	United States of America			
DFG	UPPER	0	Dept. of Fish and Game	Organization		UC Berkeley	3	1	3	United States of America			
DFW	UPPER	0	Dept. of Fish and Wildlife	Organization		UC Berkeley	3	1	3	United States of America			
DGF	UPPER	0	Dept. of Game and Fish	Organization		UC Berkeley	3	1	3	United States of America			
DLNR	UPPER	0	Dept. of Land and Natural Resources	Organization		UC Berkeley	4	1	3	United States of America			
DPW	UPPER	0	Dept. of public works	Organization		UC Berkeley	3	1	3	United States of America			
Des	MiXeD	0	Desert	Landform		USGS	3	1	2	United States of America			
Dest	MiXeD	0	Destination			USGS	4	1	2	United States of America			
Dest	MiXeD	0	Destroyed			USGS	4	1	2	United States of America			
Det	MiXeD	0	Detached			Ordnance Survey (UK)	3	10	10	United Kingdom			
POD	UPPER	0	Detail Point			Ordnance Survey (UK)	3	10	10	United Kingdom			
PD	UPPER	0	Detail Point			Ordnance Survey (UK)	2	10	10	United Kingdom			
Det Ring	MiXeD	0	Detector Ring			Ordnance Survey (UK)	8	10	10	United Kingdom			
DBB	UPPER	0	Deutsche Bundesbahn	German Federal Railway		UC Berkeley	3	1	3	United States of America			
diam	lower	0	Diameter			UC Berkeley	4	1	3	United States of America			
Dir	MiXeD	0	Director			USGS	3	1	2	United States of America			
Discon	MiXeD	0	Discontinued			USGS	6	1	2	United States of America			
Dismtd Rly	MiXeD	0	Dismantled Railway			Ordnance Survey (UK)	10	10	10	United Kingdom			
Dist	MiXeD	0	Distance			USGS	4	1	2	United States of America			
Dist	MiXeD	0	Distant			USGS	4	1	2	United States of America			
Dist	MiXeD	0	District			UC Berkeley	4	1	3	United States of America			
D.C.	Exact	0	District of Columbia	Admin-1		UC Berkeley	4	1	3	United States of America			
DC	UPPER	0	District of Columbia	Admin-1		UC Berkeley	2	1	3	United States of America			
D.F.	Exact	0	Distrito Federal	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1				
Dis	MiXeD	0	Disused			Ordnance Survey (UK)	3	10	10	United Kingdom			
D	UPPER	-10	Ditch			USGS	1	1	2	United States of America			
Div	MiXeD	0	Divide			USGS	3	1	2	United States of America			
Div	MiXeD	0	Division			USGS	3	1	2	United States of America			
D	UPPER	-10	Dock	Point of interest		Ordnance Survey (UK)	1	10	10	United Kingdom			
Dk	MiXeD	0	Dock	Point of interest		USGS	2	1	2	United States of America			
Dkyd	MiXeD	0	Dockyard	Point of interest		USGS	4	1	2	United States of America			
Dr	MiXeD	0	Doctor	Title		Nat'l Geo. N. Amer. Atlas	2	1	1				
Doc	MiXeD	0	Document			UC Berkeley	3	1	3	United States of America			
Dol	MiXeD	0	Dolphin			USGS	3	1	2	United States of America			
Dom. Rep.	Exact	0	Dominican Republic	Admin-0		Nat'l Geo. N. Amer. Atlas	9	1	1				
Dorm	MiXeD	0	Dormitory	Point of interest		USGS	4	1	2	United States of America			
D	UPPER	-10	Double			Ordnance Survey (UK)	1	10	10	United Kingdom			
DD	UPPER	0	Double Ditch			Ordnance Survey (UK)	2	10	10	United Kingdom			
DD	UPPER	0	Double Drain			Ordnance Survey (UK)	2	10	10	United Kingdom			
DF	UPPER	0	Double Fence			Ordnance Survey (UK)	2	10	10	United Kingdom			
DG	UPPER	0	Double Gate			Ordnance Survey (UK)	2	10	10	United Kingdom			
D.H.	Exact	0	Double hydrant			UC Berkeley	4	1	3	United States of America			
D Slip	MiXeD	0	Double slip			Ordnance Survey (UK)	6	10	10	United Kingdom			
DS	UPPER	0	Double Stream			Ordnance Survey (UK)	2	10	10	United Kingdom			
DW	UPPER	0	Double Wall			Ordnance Survey (UK)	2	10	10	United Kingdom			
D	UPPER	-10	Down			Ordnance Survey (UK)	1	10	10	United Kingdom			
D	UPPER	-10	Drain	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
DF	UPPER	0	Drain Frame			Ordnance Survey (UK)	2	10	10	United Kingdom			
D Well	MiXeD	0	Draw Well			Ordnance Survey (UK)	6	10	10	United Kingdom			
DW	UPPER	0	Draw Well			Ordnance Survey (UK)	2	10	10	United Kingdom			
DH	UPPER	0	Drill hole	Point of interest		UC Berkeley	2	1	3	United States of America			
D Fn	MiXeD	0	Drinking Fountain	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
DF	UPPER	0	Drinking Fountain	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
D	UPPER	-10	Drive	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Dr	MiXeD	0	Drive	Transport		USGS	2	1	2	United States of America			
D	UPPER	-10	Drove			Ordnance Survey (UK)	1	10	10	United Kingdom			
DRO	UPPER	0	Drove			Ordnance Survey (UK)	3	10	10	United Kingdom			
DV	UPPER	0	Drove			Ordnance Survey (UK)	2	10	10	United Kingdom			
DG	UPPER	0	Drying Ground			Ordnance Survey (UK)	2	10	10	United Kingdom			
DP	UPPER	0	Dung Pit			Ordnance Survey (UK)	2	10	10	United Kingdom			
DB	UPPER	0	Dust Bin			Ordnance Survey (UK)	2	10	10	United Kingdom			
D	UPPER	-10	Dwelling	Landcover		UC Berkeley	1	1	3	United States of America			
E	UPPER	100	East	Direction		UC Berkeley	1	1	3	United States of America			
E.N.E.	Exact	0	East-northeast	Direction		UC Berkeley	6	1	3	United States of America			
E.S.E.	Exact	0	East-southeast	Direction		UC Berkeley	6	1	3	United States of America			
E	UPPER	0	Eastern	Direction		Nat'l Geo. N. Amer. Atlas	1	1	1				
EDT	UPPER	0	Eastern Daylight Time	Time		UC Berkeley	3	1	3	United States of America			
E.D.	Exact	0	Eastern District	Region		UC Berkeley	4	1	3	United States of America			
EST	UPPER	0	Eastern Standard Time	Time		UC Berkeley	3	1	3	United States of America			
E	UPPER	-10	Edge of 			Ordnance Survey (UK)	1	10	10	United Kingdom			
EK	UPPER	0	Edge of Kerb			Ordnance Survey (UK)	2	10	10	United Kingdom			
Ed	MiXeD	0	Edition			UC Berkeley	2	1	3	United States of America			
eingesch	lower	0	eingeschossig	Landcover	Single story building	UC Berkeley	8	1	3	German			
H. St.	Exact	0	Eisenbahn Haltstelle	Transport	railway stop	UC Berkeley	6	1	3	German			
E. St.	Exact	0	Eisenbahn Station	Transport	railway station	UC Berkeley	6	1	3	German			
Eisb. Brck.	Exact	0	Eisenbahnbrucke	Transport	Railroad bridge	UC Berkeley	11	1	3	German			
E.F.	Exact	0	Eisenbahnfaehre	Transport	Railway ferry	UC Berkeley	4	1	3	German			
eis	lower	0	eisern	German	iron	UC Berkeley	3	1	3	German			
El Salv.	Exact	0	El Salvador	Admin-0		Nat'l Geo. N. Amer. Atlas	8	1	1				
ED	UPPER	0	Electoral Division	Region		Ordnance Survey (UK)	2	10	10	United Kingdom			
Elec	MiXeD	0	Electric			USGS	4	1	2	United States of America			
El	MiXeD	0	Electric			Ordnance Survey (UK)	2	10	10	United Kingdom			
ELB	UPPER	0	Electric Light Bracket			Ordnance Survey (UK)	3	10	10	United Kingdom			
ELS	UPPER	0	Electric Light Standard			Ordnance Survey (UK)	3	10	10	United Kingdom			
Elec	MiXeD	0	Electrical			USGS	4	1	2	United States of America			
Elec	MiXeD	0	Electricity			USGS	4	1	2	United States of America			
El	MiXeD	0	Electricity			Ordnance Survey (UK)	2	10	10	United Kingdom			
El Gen Sta	MiXeD	0	Electricity Generating Station	Point of interest		Ordnance Survey (UK)	10	10	10	United Kingdom			
El P	MiXeD	0	Electricity Pillar	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
El P	MiXeD	0	Electricity Pole	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
EP	UPPER	0	Electricity Pole	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
EP	UPPER	0	Electricity Pylon	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
El Sub Sta	MiXeD	0	Electricity Sub Station	Point of interest		Ordnance Survey (UK)	10	10	10	United Kingdom			
El Tfmr	MiXeD	0	Electricity Transformer	Point of interest		Ordnance Survey (UK)	7	10	10	United Kingdom			
El Tfmr Sta	MiXeD	0	Electricity Transformer Station	Point of interest		Ordnance Survey (UK)	11	10	10	United Kingdom			
ETL	UPPER	0	Electricity Transmission Line	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
El Wks	MiXeD	0	Electricity Works	Point of interest		Ordnance Survey (UK)	6	10	10	United Kingdom			
Elev	MiXeD	0	Elevated			USGS	4	1	2	United States of America			
el	lower	0	Elevation			USGS	2	1	2	United States of America			
Elev	MiXeD	0	Elevator	Point of interest		USGS	4	1	2	United States of America			
E	UPPER	-10	Embankment			Ordnance Survey (UK)	1	10	10	United Kingdom			
EMB	UPPER	0	Embankment			Ordnance Survey (UK)	3	10	10	United Kingdom			
EM	UPPER	0	Embankment			Ordnance Survey (UK)	2	10	10	United Kingdom			
Emer	MiXeD	0	Emergency			USGS	4	1	2	United States of America			
Emp	MiXeD	0	Employment			Ordnance Survey (UK)	3	10	10	United Kingdom			
Emp Ex	MiXeD	0	Employment Exchange			Ordnance Survey (UK)	6	10	10	United Kingdom			
E	UPPER	-10	End			Ordnance Survey (UK)	1	10	10	United Kingdom			
EM	UPPER	0	End of Motorway			Ordnance Survey (UK)	2	10	10	United Kingdom			
ES	UPPER	0	End of Straight (railway)			Ordnance Survey (UK)	2	10	10	United Kingdom			
Engr	MiXeD	0	Engineer			USGS	4	1	2	United States of America			
Engr	MiXeD	0	Engineering			USGS	4	1	2	United States of America			
Eng Wks	MiXeD	0	Engineering Works	Point of interest		Ordnance Survey (UK)	7	10	10	United Kingdom			
Ens	MiXeD	0	Ensenada	Landform	Cove, inlet	Nat'l Geo. N. Amer. Atlas	3	1	1				
Entr	MiXeD	0	Entrance			USGS	4	1	2	United States of America			
Ent	MiXeD	0	Entrance	Egress		Ordnance Survey (UK)	3	10	10	United Kingdom			
entworf	lower	0	Entworfen	German	Drawn	UC Berkeley	7	1	3	German			
entw	lower	0	Entworfen	German	Drawn	UC Berkeley	4	1	3	German			
Eq	MiXeD	0	Equator	Geographic line		USGS	2	1	2	United States of America			
Eqpt	MiXeD	0	Equipment			USGS	4	1	2	United States of America			
Equiv	MiXeD	0	Equivalent			USGS	5	1	2	United States of America			
Escrp	MiXeD	0	Escarpment	Landform		USGS	5	1	2	United States of America			
ESPL	UPPER	0	Esplanade	Transport		Ordnance Survey (UK)	4	10	10	United Kingdom			
ESP	UPPER	0	Esplanade	Transport		Ordnance Survey (UK)	3	10	10	United Kingdom			
Estab	MiXeD	0	Established	Time		USGS	5	1	2	United States of America			
Est	MiXeD	0	Estación	Point of interest	Station	Nat'l Geo. N. Amer. Atlas	3	1	1				
Est	MiXeD	0	Estimated	Time		USGS	3	1	2	United States of America			
Est	MiXeD	0	Estuary	Hydrology		USGS	3	1	2	United States of America			
Euro Const	MiXeD	0	European Assembly Constituency	Organization		Ordnance Survey (UK)	10	10	10	United Kingdom			
ED	UPPER	0	European Datum			Ordnance Survey (UK)	2	10	10	United Kingdom			
EEC	UPPER	0	European Economic Community	Organization		UC Berkeley	3	1	3	United States of America			
EU	UPPER	0	European Union	Organization		UC Berkeley	2	1	3	United States of America			
Ex	MiXeD	0	Exchange			Ordnance Survey (UK)	2	10	10	United Kingdom			
EEZ	UPPER	0	Exclusive Economic Zone			UC Berkeley	3	1	3	United States of America			
Exec	MiXeD	0	Executive	Title		USGS	4	1	2	United States of America			
Exper	MiXeD	0	Experimental			USGS	5	1	2	United States of America			
Exp Wk	MiXeD	0	Exposed Wreck			USGS	6	1	2	United States of America			
Expwy	MiXeD	100	Expressway	Transport		Benchmark	5	1	1	United States of America			
Ext	MiXeD	0	Extension	Transport		USGS	3	1	2	United States of America			
Ext	MiXeD	0	Extinct			USGS	3	1	2	United States of America			
EHS	UPPER	0	Extremely hazardous materials			UC Berkeley	3	1	3	United States of America			
E	UPPER	-10	Eyot			Ordnance Survey (UK)	1	10	10	United Kingdom			
Fb	MiXeD	0	Fabrik	German	Factory	UC Berkeley	2	1	3	German			
FL	UPPER	0	Face Left			Ordnance Survey (UK)	2	10	10	United Kingdom			
F	UPPER	-10	Face of			Ordnance Survey (UK)	1	10	10	United Kingdom			
FF	UPPER	0	Face of Fence			Ordnance Survey (UK)	2	10	10	United Kingdom			
FP	UPPER	0	Face of Paling			Ordnance Survey (UK)	2	10	10	United Kingdom			
FW	UPPER	0	Face of Wall			Ordnance Survey (UK)	2	10	10	United Kingdom			
FR	UPPER	0	Face Right			Ordnance Survey (UK)	2	10	10	United Kingdom			
Fcty	MiXeD	0	Factory			USGS	4	1	2	United States of America			
Fahrb	MiXeD	0	Fahrbahn	German	roadway	UC Berkeley	5	1	3	German			
F	UPPER	-10	Fahrenheit	Measurement		UC Berkeley	1	1	3	United States of America			
Fls	MiXeD	0	Falls	Hydrology		USGS	3	1	2	United States of America			
FRM	UPPER	0	Farm	Landcover		UC Berkeley	3	1	3	United States of America			
Fm	MiXeD	0	Farm	Landcover		Ordnance Survey (UK)	2	10	10	United Kingdom			
Fm	MiXeD	0	Fathom			USGS	2	1	2	United States of America			
Feb	MiXeD	0	February	Dates		USGS	3	1	2	United States of America			
fec	lower	0	Fecit		maker	UC Berkeley	3	1	3	United States of America			
fe	lower	0	Fecit		maker	UC Berkeley	2	1	3	United States of America			
Fed	MiXeD	0	Federal			USGS	3	1	2	United States of America			
Ft	MiXeD	0	Feet	Measurement		USGS	2	1	2	United States of America			
FN/W	UPPER	0	Felt Nail and Washer			Ordnance Survey (UK)	4	10	10	United Kingdom			
F	UPPER	-10	Fence			Ordnance Survey (UK)	1	10	10	United Kingdom			
Ferry F	MiXeD	0	Ferries – Foot	Transport		Ordnance Survey (UK)	7	10	10	United Kingdom			
Ferry V	MiXeD	0	Ferries – Vehicular	Transport		Ordnance Survey (UK)	7	10	10	United Kingdom			
Fy	MiXeD	100	Ferry	Transport		USGS	2	1	2	United States of America			
